"";"unique.c.additional_stopwords..basic_stopwords.."
"1";"si"
"2";"ca"
"3";"va"
"4";"ni"
"5";"etc"
"6";"via"
"7";""
"8";"vaccin"
"9";"vaccination"
"10";"vaccins"
"11";"vacciner"
"12";"bill"
"13";"gates"
"14";"contre"
"15";"etre"
"16";"fait"
"17";"tout"
"18";"tous"
"19";"vont"
"20";"faire"
"21";"non"
"22";"plus"
"23";"bien"
"24";"19"
"25";"covid"
"26";"covid19"
"27";"oui"
"28";"aussi"
"29";"donc"
"30";"alors"
"31";"rien"
"32";"coronavirus"
"33";"quand"
"34";"veut"
"35";"dit"
"36";"sous"
"37";"deja"
"38";"faut"
"39";"peut"
"40";"apres"
"41";"avoir"
"42";"encore"
"43";"veulent"
"44";"quoi"
"45";"ceux"
"46";"tres"
"47";"bon"
"48";"depuis"
"49";"autres"
"50";"vaccines"
"51";"puce"
"52";"puces"
"53";"pucages"
"54";"pucer"
"55";"pucage"
"56";"car"
"57";"dire"
"58";"avant"
"59";"jamais"
"60";"toujours"
"61";"moins"
"62";"comment"
"63";"i"
"64";"me"
"65";"my"
"66";"myself"
"67";"we"
"68";"our"
"69";"ours"
"70";"ourselves"
"71";"you"
"72";"your"
"73";"yours"
"74";"yourself"
"75";"yourselves"
"76";"he"
"77";"him"
"78";"his"
"79";"himself"
"80";"she"
"81";"her"
"82";"hers"
"83";"herself"
"84";"it"
"85";"its"
"86";"itself"
"87";"they"
"88";"them"
"89";"their"
"90";"theirs"
"91";"themselves"
"92";"what"
"93";"which"
"94";"who"
"95";"whom"
"96";"this"
"97";"that"
"98";"these"
"99";"those"
"100";"am"
"101";"is"
"102";"are"
"103";"was"
"104";"were"
"105";"be"
"106";"been"
"107";"being"
"108";"have"
"109";"has"
"110";"had"
"111";"having"
"112";"do"
"113";"does"
"114";"did"
"115";"doing"
"116";"would"
"117";"should"
"118";"could"
"119";"ought"
"120";"im"
"121";"youre"
"122";"hes"
"123";"shes"
"124";"theyre"
"125";"ive"
"126";"youve"
"127";"weve"
"128";"theyve"
"129";"id"
"130";"youd"
"131";"hed"
"132";"shed"
"133";"wed"
"134";"theyd"
"135";"ill"
"136";"youll"
"137";"hell"
"138";"shell"
"139";"well"
"140";"theyll"
"141";"isnt"
"142";"arent"
"143";"wasnt"
"144";"werent"
"145";"hasnt"
"146";"havent"
"147";"hadnt"
"148";"doesnt"
"149";"dont"
"150";"didnt"
"151";"wont"
"152";"wouldnt"
"153";"shant"
"154";"shouldnt"
"155";"cant"
"156";"cannot"
"157";"couldnt"
"158";"mustnt"
"159";"lets"
"160";"thats"
"161";"whos"
"162";"whats"
"163";"heres"
"164";"theres"
"165";"whens"
"166";"wheres"
"167";"whys"
"168";"hows"
"169";"a"
"170";"an"
"171";"the"
"172";"and"
"173";"but"
"174";"if"
"175";"or"
"176";"because"
"177";"as"
"178";"until"
"179";"while"
"180";"of"
"181";"at"
"182";"by"
"183";"for"
"184";"with"
"185";"about"
"186";"against"
"187";"between"
"188";"into"
"189";"through"
"190";"during"
"191";"before"
"192";"after"
"193";"above"
"194";"below"
"195";"to"
"196";"from"
"197";"up"
"198";"down"
"199";"in"
"200";"out"
"201";"on"
"202";"off"
"203";"over"
"204";"under"
"205";"again"
"206";"further"
"207";"then"
"208";"once"
"209";"here"
"210";"there"
"211";"when"
"212";"where"
"213";"why"
"214";"how"
"215";"all"
"216";"any"
"217";"both"
"218";"each"
"219";"few"
"220";"more"
"221";"most"
"222";"other"
"223";"some"
"224";"such"
"225";"no"
"226";"nor"
"227";"not"
"228";"only"
"229";"own"
"230";"same"
"231";"so"
"232";"than"
"233";"too"
"234";"very"
"235";"will"
"236";"au"
"237";"aux"
"238";"avec"
"239";"ce"
"240";"ces"
"241";"dans"
"242";"de"
"243";"des"
"244";"du"
"245";"elle"
"246";"en"
"247";"et"
"248";"eux"
"249";"il"
"250";"je"
"251";"la"
"252";"le"
"253";"leur"
"254";"lui"
"255";"ma"
"256";"mais"
"257";"meme"
"258";"mes"
"259";"moi"
"260";"mon"
"261";"ne"
"262";"nos"
"263";"notre"
"264";"nous"
"265";"ou"
"266";"par"
"267";"pas"
"268";"pour"
"269";"qu"
"270";"que"
"271";"qui"
"272";"sa"
"273";"se"
"274";"ses"
"275";"son"
"276";"sur"
"277";"ta"
"278";"te"
"279";"tes"
"280";"toi"
"281";"ton"
"282";"tu"
"283";"un"
"284";"une"
"285";"vos"
"286";"votre"
"287";"vous"
"288";"c"
"289";"d"
"290";"j"
"291";"l"
"292";"m"
"293";"n"
"294";"s"
"295";"t"
"296";"y"
"297";"ete"
"298";"etee"
"299";"etees"
"300";"etes"
"301";"etant"
"302";"suis"
"303";"es"
"304";"est"
"305";"sommes"
"306";"sont"
"307";"serai"
"308";"seras"
"309";"sera"
"310";"serons"
"311";"serez"
"312";"seront"
"313";"serais"
"314";"serait"
"315";"serions"
"316";"seriez"
"317";"seraient"
"318";"etais"
"319";"etait"
"320";"etions"
"321";"etiez"
"322";"etaient"
"323";"fus"
"324";"fut"
"325";"fumes"
"326";"futes"
"327";"furent"
"328";"sois"
"329";"soit"
"330";"soyons"
"331";"soyez"
"332";"soient"
"333";"fusse"
"334";"fusses"
"335";"fussions"
"336";"fussiez"
"337";"fussent"
"338";"ayant"
"339";"eu"
"340";"eue"
"341";"eues"
"342";"eus"
"343";"ai"
"344";"avons"
"345";"avez"
"346";"ont"
"347";"aurai"
"348";"auras"
"349";"aura"
"350";"aurons"
"351";"aurez"
"352";"auront"
"353";"aurais"
"354";"aurait"
"355";"aurions"
"356";"auriez"
"357";"auraient"
"358";"avais"
"359";"avait"
"360";"avions"
"361";"aviez"
"362";"avaient"
"363";"eut"
"364";"eumes"
"365";"eutes"
"366";"eurent"
"367";"aie"
"368";"aies"
"369";"ait"
"370";"ayons"
"371";"ayez"
"372";"aient"
"373";"eusse"
"374";"eusses"
"375";"eussions"
"376";"eussiez"
"377";"eussent"
"378";"ceci"
"379";"cela"
"380";"cet"
"381";"cette"
"382";"ici"
"383";"ils"
"384";"les"
"385";"leurs"
"386";"quel"
"387";"quels"
"388";"quelle"
"389";"quelles"
"390";"sans"
"391";"soi"
